cod;denumire;um;tva;den_tip;STOC;PRET ACHIZITIE;PRET VANZ CU TVA;cod_bare
750753 004 S;T-SHIRT FIGC BADGE;buc;19;Marfuri;2;56;147;4057826009607
750753 004 XL;T-SHIRT FIGC BADGE;buc;19;Marfuri;2;56;147;4057826009591
750753 004 M;T-SHIRT FIGC BADGE;buc;19;Marfuri;2;56;147;4057826009515
750753 004 L;T-SHIRT FIGC BADGE;buc;19;Marfuri;2;56;147;4057826009478
BK7143 34;REGULAR SHORT;buc;19;Marfuri;2;67;176;4057291209564
BK7143 36;REGULAR SHORT;buc;19;Marfuri;3;67;176;4057291209526
BK7143 40;REGULAR SHORT;buc;19;Marfuri;2;67;176;4057291209496
BK7143 38;REGULAR SHORT;buc;19;Marfuri;3;67;176;4057291205429
BK7143 42;REGULAR SHORT;buc;19;Marfuri;2;67;176;4057291205375
BK2117 NS;AIRLINER AC CL;buc;19;Marfuri;3;106;277;4057289806690
BR7106 XS;ESS POLO YD;buc;19;Marfuri;1;77;201;4057289798414
BR7106 S;ESS POLO YD;buc;19;Marfuri;2;77;201;4057289798384
BR7106 XXL;ESS POLO YD;buc;19;Marfuri;1;77;201;4057289798377
BR7106 L;ESS POLO YD;buc;19;Marfuri;3;77;201;4057289798339
BR7106 XL;ESS POLO YD;buc;19;Marfuri;2;77;201;4057289798315
BR7106 M;ESS POLO YD;buc;19;Marfuri;3;77;201;4057289798292
BR7103 XS;ESS POLO YD;buc;19;Marfuri;1;77;201;4057289797943
BR7103 L;ESS POLO YD;buc;19;Marfuri;3;77;201;4057289797912
BR7103 XL;ESS POLO YD;buc;19;Marfuri;2;77;201;4057289797899
BR7103 XXL;ESS POLO YD;buc;19;Marfuri;1;77;201;4057289797882
BR7103 S;ESS POLO YD;buc;19;Marfuri;2;77;201;4057289797844
BR7103 M;ESS POLO YD;buc;19;Marfuri;3;77;201;4057289797820
S99997 S;3S PER TB S;buc;19;Marfuri;12;71;185;4057289797578
BS5028 XXL;ESS LIN SHOR SJ;buc;19;Marfuri;1;63;166;4057289782352
BS5028 XL;ESS LIN SHOR SJ;buc;19;Marfuri;1;63;166;4057289782338
BS5028 L;ESS LIN SHOR SJ;buc;19;Marfuri;3;63;166;4057289782307
BS5028 XS;ESS LIN SHOR SJ;buc;19;Marfuri;2;63;166;4057289782284
BS5028 S;ESS LIN SHOR SJ;buc;19;Marfuri;3;63;166;4057289782277
BS5028 M;ESS LIN SHOR SJ;buc;19;Marfuri;3;63;166;4057289780617
BK7468 M;ESS 3S SHORT FT;buc;19;Marfuri;3;67;176;4057289779734
BK7468 L;ESS 3S SHORT FT;buc;19;Marfuri;2;67;176;4057289779697
BK7468 XXL;ESS 3S SHORT FT;buc;19;Marfuri;1;67;176;4057289779673
BK7468 XL;ESS 3S SHORT FT;buc;19;Marfuri;1;67;176;4057289779666
BK7468 XS;ESS 3S SHORT FT;buc;19;Marfuri;2;67;176;4057289779574
BK7468 S;ESS 3S SHORT FT;buc;19;Marfuri;3;67;176;4057289779550
S99995 S;3S PER TB S;buc;19;Marfuri;12;71;185;4057289771073
BK7464 S;ESS LO SHORT FT;buc;19;Marfuri;3;67;176;4057289761388
BK7464 M;ESS LO SHORT FT;buc;19;Marfuri;3;67;176;4057289761357
BK7464 L;ESS LO SHORT FT;buc;19;Marfuri;3;67;176;4057289761340
BK7464 XL;ESS LO SHORT FT;buc;19;Marfuri;1;67;176;4057289761326
BK7464 XXL;ESS LO SHORT FT;buc;19;Marfuri;1;67;176;4057289761296
BK7464 XS;ESS LO SHORT FT;buc;19;Marfuri;2;67;176;4057289761289
BK7469 L;SHORT FT 3S ESS;buc;19;Marfuri;3;67;176;4057289739721
BK7469 M;SHORT FT 3S ESS;buc;19;Marfuri;3;67;176;4057289739707
BK7469 XXL;SHORT FT 3S ESS;buc;19;Marfuri;1;67;176;4057289739615
BK7469 XL;SHORT FT 3S ESS;buc;19;Marfuri;1;67;176;4057289739585
B47223 S;ESS CHELSEA SJ;buc;19;Marfuri;3;58;151;4057289735860
B47223 XL;ESS CHELSEA SJ;buc;19;Marfuri;2;58;151;4057289735853
B47223 XS;ESS CHELSEA SJ;buc;19;Marfuri;2;58;151;4057289735815
BK7469 XS;SHORT FT 3S ESS;buc;19;Marfuri;2;67;176;4057289735518
BK7469 S;SHORT FT 3S ESS;buc;19;Marfuri;3;67;176;4057289735495
B47203 XXL;ESS LO SHORT FT;buc;19;Marfuri;1;67;176;4057289735273
B47223 L;ESS CHELSEA SJ;buc;19;Marfuri;3;58;151;4057289731749
B47223 M;ESS CHELSEA SJ;buc;19;Marfuri;3;58;151;4057289731725
B47223 XXL;ESS CHELSEA SJ;buc;19;Marfuri;1;58;151;4057289731701
B47203 XL;ESS LO SHORT FT;buc;19;Marfuri;1;67;176;4057289731206
B47203 L;ESS LO SHORT FT;buc;19;Marfuri;3;67;176;4057289731183
B47203 M;ESS LO SHORT FT;buc;19;Marfuri;3;67;176;4057289731169
B47203 S;ESS LO SHORT FT;buc;19;Marfuri;3;67;176;4057289731138
B47203 XS;ESS LO SHORT FT;buc;19;Marfuri;2;67;176;4057289731114
BK7459 S;ESS RH SHORT FT;buc;19;Marfuri;3;67;176;4057289623389
BK7459 M;ESS RH SHORT FT;buc;19;Marfuri;3;67;176;4057289623365
BK7459 L;ESS RH SHORT FT;buc;19;Marfuri;3;67;176;4057289623358
BK7459 XL;ESS RH SHORT FT;buc;19;Marfuri;1;67;176;4057289623334
BK7459 XXL;ESS RH SHORT FT;buc;19;Marfuri;1;67;176;4057289623310
BK7459 XS;ESS RH SHORT FT;buc;19;Marfuri;2;67;176;4057289623259
BK7461 L;SHORT FT RAW HEM;buc;19;Marfuri;3;67;176;4057289587216
BK7461 S;SHORT FT RAW HEM;buc;19;Marfuri;3;67;176;4057289587209
